states,values,action_probs,goals
"[[0, 0], [0, 0], [0, 2]]",0.166286623451164,"[0.         0.         0.         0.         0.09999999 0.
 0.         0.         0.         0.         0.         0.79999992
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.09999999 0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0], [1, 0]]",0.00660469171317906,"[0.         0.24999994 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.24999994
 0.         0.         0.         0.24999994 0.         0.24999994
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [6, 0]]",0.03759523159258183,"[0.10526315 0.         0.         0.         0.         0.
 0.         0.         0.         0.2105263  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.10526315 0.         0.         0.         0.2105263  0.
 0.36842103]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0], [1, 0], [1, 2]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 6], [1, 6]]",0.7328146230862953,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 3]]",0.04627651505447338,"[0.15384614 0.         0.         0.         0.         0.
 0.30769228 0.         0.         0.         0.         0.
 0.         0.23076921 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.30769228 0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [6, 0], [6, 4]]",0.00924572349719703,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.99999983]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [6, 0], [6, 4], [6, 4]]",0.00924634338762879,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.9999998]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [6, 0], [6, 4], [6, 4], [6, 4]]",0.008939202037082263,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.99999975]","[ 0.03115208 -0.02946869  0.1         0.          0.          0.65819563
 -0.01106401 -0.04150233  0.          0.          0.          0.34095795]"
"[[0, 0], [6, 0], [6, 4], [6, 4], [6, 4], [6, 4]]",0.008446852654920588,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.99999967]","[ 0.03376759 -0.03531931  0.1         0.          0.          0.70859798
 -0.0070405  -0.0354761   0.          0.          0.          0.34982567]"
"[[0, 0], [0, 3], [6, 3]]",0.011187576374483399,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.99999967 0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [6, 0], [6, 0]]",0.011544860155570259,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.99999967 0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 6], [4, 6], [4, 6]]",0.7779493108959714,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [4, 0], [0, 0]]",0.005293436757045351,"[0.33333322 0.         0.         0.         0.         0.
 0.         0.         0.         0.33333322 0.33333322 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0], [1, 6]]",0.22308351095631027,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.99999995
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [6, 0], [6, 3]]",0.010913467122165456,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.99999967 0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 0], [6, 0]]",0.013030796319515437,"[0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.999999 0.       0.       0.       0.       0.       0.      ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [6, 0], [6, 3], [6, 3]]",0.011363185848515527,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.9999995 0.        0.       ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [6, 0], [6, 2]]",0.012441840619477779,"[0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.999999 0.       0.       0.       0.       0.       0.      ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0], [1, 6], [1, 6]]",0.23482474775710363,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.99999995
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 2], [0, 0], [4, 0]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 6], [1, 6], [1, 6]]",0.7331045022883503,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0], [1, 6], [1, 6], [1, 6]]",0.2060724168594736,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.99999994
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03115208 -0.02946869  0.1         0.          0.          0.65819563
 -0.01106401 -0.04150233  0.          0.          0.          0.34095795]"
"[[0, 0], [1, 0], [1, 6], [1, 6], [1, 6], [1, 6]]",0.17515340692210718,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.99999994
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03376759 -0.03531931  0.1         0.          0.          0.70859798
 -0.0070405  -0.0354761   0.          0.          0.          0.34982567]"
"[[0, 0], [1, 0], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.18610049417054592,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.99999994
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03906926 -0.04526096  0.1         0.          0.          0.79722935
  0.00307948 -0.02570975  0.          0.          0.          0.4140487 ]"
"[[0, 0], [0, 3], [6, 3], [6, 3]]",0.01089491988609957,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.9999995 0.        0.       ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.19850719295480246,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.99999993
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.04590155 -0.05562033  0.1         0.          0.          0.89485579
  0.01793781 -0.01668085  0.          0.          0.          0.52370837]"
"[[0, 0], [6, 0], [6, 3], [6, 3], [6, 3]]",0.011235785610663766,"[0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.999999 0.       0.      ]","[ 0.03115208 -0.02946869  0.1         0.          0.          0.65819563
 -0.01106401 -0.04150233  0.          0.          0.          0.34095795]"
"[[0, 0], [0, 3], [0, 0]]",0.011879401509267981,"[0.       0.       0.       0.       0.       0.       0.       0.999999
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.      ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 6], [0, 0]]",0.007380510930725543,"[0.24999994 0.24999994 0.         0.         0.         0.
 0.         0.         0.         0.49999988 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 3], [0, 3]]",0.1750779346187062,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.99999967 0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0], [1, 0], [1, 4]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.21268627715306807,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.99999993
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.05156974 -0.06280649  0.1         0.          0.          0.9668463
  0.03211438 -0.01177412  0.          0.          0.          0.63990513]"
"[[0, 0], [1, 0], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.2290467587524978,"[0.         0.07692307 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.92307685
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.05390443 -0.06548024  0.1         0.          0.          0.99476098
  0.03983298 -0.0107732   0.          0.          0.          0.71900762]"
"[[0, 0], [1, 0], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.2036681678337866,"[0.         0.36363633 0.         0.         0.         0.
 0.         0.         0.         0.         0.45454541 0.
 0.         0.         0.         0.         0.         0.18181817
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.05402402 -0.06561321  0.1         0.          0.          0.9961674
  0.04110107 -0.01096463  0.          0.          0.          0.7386736 ]"
"[[0, 0], [4, 0], [0, 0], [6, 0]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [6, 0], [6, 0], [6, 3]]",0.011408662772756826,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.9999995 0.        0.       ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 3], [6, 3], [6, 3], [6, 3]]",0.011014100325945604,"[0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.999999 0.       0.      ]","[ 0.03115208 -0.02946869  0.1         0.          0.          0.65819563
 -0.01106401 -0.04150233  0.          0.          0.          0.34095795]"
"[[0, 0], [0, 2], [4, 2], [4, 2]]",0.012156316030076754,"[0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.999999 0.
 0.       0.       0.       0.       0.       0.       0.      ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [4, 0], [4, 6]]",0.007213745503034206,"[0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.999999 0.      ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [4, 0], [4, 3]]",0.3759378484574975,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.9999999 0.
 0.        0.        0.       ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [1, 0], [1, 0], [1, 6]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [4, 0], [4, 3], [4, 3]]",0.3288766758109632,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.99999989 0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 3], [6, 3], [6, 3], [6, 3], [6, 3]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03376759 -0.03531931  0.1         0.          0.          0.70859798
 -0.0070405  -0.0354761   0.          0.          0.          0.34982567]"
"[[0, 0], [0, 6], [1, 6], [1, 6], [1, 6]]",0.7330965403682518,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03115208 -0.02946869  0.1         0.          0.          0.65819563
 -0.01106401 -0.04150233  0.          0.          0.          0.34095795]"
"[[0, 0], [4, 0], [4, 3], [4, 3], [4, 3]]",0.3687255835416079,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.99999988 0.         0.         0.
 0.        ]","[ 0.03115208 -0.02946869  0.1         0.          0.          0.65819563
 -0.01106401 -0.04150233  0.          0.          0.          0.34095795]"
"[[0, 0], [0, 0], [6, 0], [6, 2]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.7330885721441748,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03376759 -0.03531931  0.1         0.          0.          0.70859798
 -0.0070405  -0.0354761   0.          0.          0.          0.34982567]"
"[[0, 0], [0, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.7333789042518403,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03906926 -0.04526096  0.1         0.          0.          0.79722935
  0.00307948 -0.02570975  0.          0.          0.          0.4140487 ]"
"[[0, 0], [0, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.7333714362762389,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.04590155 -0.05562033  0.1         0.          0.          0.89485579
  0.01793781 -0.01668085  0.          0.          0.          0.52370837]"
"[[0, 0], [0, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.7336621106464258,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.05156974 -0.06280649  0.1         0.          0.          0.9668463
  0.03211438 -0.01177412  0.          0.          0.          0.63990513]"
"[[0, 0], [1, 0], [0, 0]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 0], [0, 3]]",0.007505092742605149,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.49999975 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.49999975 0.         0.         0.
 0.        ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 2], [0, 2]]",0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 3], [1, 3]]",0.005358408319974726,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.9999995
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.       ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 0], [0, 0]]",0.007990346681727637,"[0.       0.       0.       0.       0.       0.       0.999999 0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.       0.
 0.       0.       0.       0.       0.       0.       0.      ]","[ 0.03067199 -0.02830154  0.1         0.          0.          0.64827108
 -0.01150129 -0.04271837  0.          0.          0.          0.34789632]"
"[[0, 0], [0, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6], [1, 6]]",0.7336539461567885,"[0.         0.61617764 0.         0.         0.         0.
 0.         0.         0.         0.         0.38223632 0.
 0.         0.         0.         0.         0.         0.00158604
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]","[ 0.05390443 -0.06548024  0.1         0.          0.          0.99476098
  0.03983298 -0.0107732   0.          0.          0.          0.71900762]"
